      k          chi          mag           phase @#
    11.0500   -4.761544E-04  1.099305E-02  4.716722E+01
    11.1000   -5.913495E-03  2.180902E-02  4.739848E+01
    11.1500   -1.812633E-02  3.293049E-02  4.770678E+01
    11.2000   -3.489447E-02  4.408287E-02  4.803726E+01
    11.2500   -5.229803E-02  5.503224E-02  4.837814E+01
    11.3000   -6.551855E-02  6.554917E-02  4.872525E+01
    11.3500   -6.997610E-02  7.541002E-02  4.907663E+01
    11.4000   -6.252883E-02  8.440268E-02  4.943116E+01
    11.4500   -4.241988E-02  9.233303E-02  4.978814E+01
    11.5000   -1.170120E-02  9.903081E-02  5.014705E+01
    11.5500    2.501141E-02  1.043547E-01  5.050752E+01
    11.6000    6.142707E-02  1.081963E-01  5.086924E+01
    11.6500    9.091596E-02  1.104832E-01  5.123197E+01
    11.7000    1.079732E-01  1.111803E-01  5.159551E+01
    11.7500    1.094515E-01  1.102903E-01  5.195969E+01
    11.8000    9.525850E-02  1.078530E-01  5.232438E+01
    11.8500    6.835015E-02  1.039430E-01  5.268948E+01
    11.9000    3.403070E-02  9.866672E-02  5.305494E+01
    11.9500   -1.258992E-03  9.215867E-02  5.342074E+01
    12.0000   -3.136094E-02  8.457662E-02  5.378695E+01
    12.0500   -5.190100E-02  7.645370E-02  5.415328E+01
    12.1000   -6.064134E-02  6.758977E-02  5.452046E+01
    12.1500   -5.793963E-02  5.816803E-02  5.488923E+01
    12.2000   -4.644845E-02  4.837472E-02  5.526102E+01
    12.2500   -3.031044E-02  3.839595E-02  5.563881E+01
    12.3000   -1.409705E-02  2.841817E-02  5.602962E+01
    12.3500   -1.752933E-03  1.864347E-02  5.645451E+01
    12.4000    4.218577E-03  9.413249E-03  5.701337E+01
    12.4500    3.171767E-03  3.742749E-03  5.867911E+01
    12.5000   -3.715081E-03  9.922719E-03  6.007401E+01
    12.5500   -1.387113E-02  1.762532E-02  6.059619E+01
    12.6000   -2.403046E-02  2.481695E-02  6.100863E+01
    12.6500   -3.102250E-02  3.128020E-02  6.138951E+01
    12.7000   -3.248236E-02  3.692881E-02  6.175685E+01
    12.7500   -2.734191E-02  4.171171E-02  6.211701E+01
    12.8000   -1.601947E-02  4.559617E-02  6.247286E+01
    12.8500   -2.906768E-04  4.856256E-02  6.282587E+01
    12.9000    1.711530E-02  5.060210E-02  6.317689E+01
    12.9500    3.310136E-02  5.171583E-02  6.352643E+01
