# Merge in e space of:
# ** C:/spectra for calibration/inasp_1.dat (inasp_1)
# ** C:/spectra for calibration/inasp_2.dat (inasp_2)
# ** C:/spectra for calibration/inasp_3.dat (inasp_3)
#------------------------
#   ee        xmu        bkg        stddev
  11936.915       0.79411600       0.79634858       0.35269068E-01
  11937.556       0.79040333       0.79593159       0.35271226E-01
  11938.196       0.78706967       0.79551544       0.35231426E-01
  11938.853       0.78420367       0.79508820       0.35210111E-01
  11939.512       0.78163267       0.79465975       0.35316677E-01
  11940.169       0.77971200       0.79423252       0.35248492E-01
  11940.827       0.77799567       0.79380439       0.35015588E-01
  11941.503       0.77611100       0.79336486       0.35395207E-01
  11942.161       0.77476233       0.79293623       0.35266877E-01
  11942.836       0.77321967       0.79249609       0.35144414E-01
  11943.511       0.77226767       0.79205565       0.35308862E-01
  11944.187       0.77157733       0.79161424       0.35392896E-01
  11944.879       0.77092000       0.79116260       0.35055806E-01
  11945.555       0.77000567       0.79072064       0.34490411E-01
  11946.248       0.76999067       0.79026707       0.34602297E-01
  11946.924       0.76951300       0.78982450       0.34954455E-01
  11947.617       0.76956400       0.78937095       0.35038827E-01
  11948.311       0.76945033       0.78891585       0.34962163E-01
  11949.021       0.76921567       0.78844986       0.34530391E-01
  11949.716       0.76847833       0.78799412       0.34882821E-01
  11950.426       0.76785400       0.78752743       0.34929457E-01
  11951.137       0.76732100       0.78705982       0.35096185E-01
  11951.848       0.76701467       0.78659248       0.34973724E-01
  11952.559       0.76663567       0.78612416       0.34819491E-01
  11953.271       0.76654867       0.78565559       0.35122017E-01
  11953.981       0.76625300       0.78518729       0.35003351E-01
  11954.711       0.76670733       0.78470607       0.35119485E-01
  11955.441       0.76714100       0.78422459       0.35216918E-01
  11956.168       0.76780800       0.78374396       0.35349875E-01
  11956.898       0.76877300       0.78326182       0.34995781E-01
  11957.627       0.77029300       0.78277929       0.35340787E-01
  11958.374       0.77217767       0.78228511       0.35135377E-01
  11959.121       0.77334833       0.78179052       0.35089832E-01
  11959.850       0.77527533       0.78130707       0.34824585E-01
  11960.597       0.77646200       0.78081188       0.34672293E-01
  11961.362       0.77739033       0.78030428       0.34861832E-01
  11962.109       0.77811000       0.77980842       0.35008440E-01
  11962.874       0.77856433       0.77930014       0.35228613E-01
  11963.620       0.77821867       0.77880361       0.35181201E-01
  11964.386       0.77822733       0.77829405       0.34872186E-01
  11965.151       0.77800400       0.77778481       0.34966111E-01
  11965.915       0.77853533       0.77727583       0.35088097E-01
  11966.699       0.77931200       0.77675318       0.34667417E-01
  11967.463       0.78092600       0.77624285       0.34806718E-01
  11968.246       0.78288267       0.77572010       0.34926183E-01
  11969.029       0.78582367       0.77519768       0.34918937E-01
  11969.812       0.78873967       0.77467364       0.35052836E-01
  11970.595       0.79149133       0.77414985       0.35138759E-01
  11971.377       0.79398800       0.77362640       0.34914510E-01
  11972.178       0.79599400       0.77308981       0.34796451E-01
  11972.979       0.79765700       0.77255293       0.34922985E-01
  11973.781       0.79851233       0.77201564       0.34745122E-01
  11974.582       0.79864767       0.77147800       0.34509645E-01
  11975.383       0.79852967       0.77094001       0.34647875E-01
  11976.184       0.79770700       0.77040168       0.34795980E-01
  11977.002       0.79637867       0.76985150       0.34621830E-01
  11977.804       0.79448367       0.76931181       0.34641680E-01
  11978.623       0.79259600       0.76876026       0.34686514E-01
  11979.443       0.78936967       0.76820836       0.34405128E-01
  11980.279       0.78629133       0.76764451       0.34442883E-01
  11981.099       0.78276600       0.76709130       0.34659067E-01
  11981.936       0.77879167       0.76652674       0.34437916E-01
  11982.755       0.77522300       0.76597345       0.34857544E-01
  11983.592       0.77134867       0.76540758       0.34527625E-01
  11984.430       0.76767500       0.76484068       0.34703883E-01
  11985.268       0.76437833       0.76427411       0.34633943E-01
  11986.122       0.76112067       0.76369554       0.34695902E-01
  11986.959       0.75849967       0.76312820       0.34548591E-01
  11987.816       0.75677067       0.76254764       0.34491390E-01
  11988.670       0.75490967       0.76196808       0.34774712E-01
