MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 7143.0192  12890440 33257.5 81562.5 35545 89072.5
 7144.2529  12890110 33185 81895 34402.5 88515
 7145.4655  15468030 39927.5 99342.5 39647.5 105772.5
 7146.7218  12889940 33337.5 83517.5 31882.5 87757.5
 7147.9785  12890552 33450 84172.5 31307.5 87700
 7149.2574  12889822 33240 83917.5 30607.5 87535
 7150.5151  12890615 33502.5 84812.5 30417.5 87447.5
 7151.7516  12889872 33465 84965 29907.5 87232.5
 7152.9885  12890672 33430 85125 29440 86967.5
 7154.2259  15467930 40032.5 102212.5 34797.5 104105
 7155.5071  12890185 33562.5 85842.5 28942.5 86725
 7156.7888  12890235 33517.5 85795 28930 86355
 7158.0493  12889975 33322.5 85325 28872.5 85792.5
 7159.2884  12890572 33295 85232.5 29067.5 85870
 7160.5063  12889985 33272.5 85150 29330 85595
 7161.7899  15468218 40042.5 102412.5 35645 102495
 7163.0522  12890498 33407.5 85330 30177.5 85245
 7164.3585  12890100 33385 85122.5 30595 85072.5
 7165.5782  12890270 33430 85072.5 31190 84897.5
 7166.82    12890000 33357.5 84715 31710 84620
 7168.0842  12890418 33310 84415 32275 84565
 7169.3488  12890252 33322.5 84280 32890 84357.5
 7170.6357  15471682 40075 101150 40190 101412.5
 7171.8794  12886655 33402.5 84185 33980 84517.5
 7173.1236  12889985 33340 83915 34327.5 84337.5
 7174.3682  12890442 33350 83827.5 34840 84222.5
 7175.6569  12890048 33352.5 83695 35352.5 84135
 7176.9462  12890332 33327.5 83515 35770 83745
 7178.1922  12889980 33475 83822.5 36222.5 83677.5
 7179.4386  12890265 33155 83022.5 36090 82730
 7180.6855  15468620 39740 99572.5 43277.5 98452.5
 7181.9766  12889925 33267.5 83447.5 36155 81795
 7183.2464  12890425 33367.5 83810 36172.5 81462.5
 7184.5165  12889915 33262.5 83650 35950 80820
 7185.7872  12890548 33300 83832.5 35862.5 80292.5
 7187.0364  12889945 33227.5 83790 35675 79500
