# data from ifeffit
#------------------------
#   lambda    xmu
  1.1733710        1.7849850
  1.1725032        1.7798170
  1.1716301        1.7748300
  1.1707771        1.7700770
  1.1699099        1.7655840
  1.1690429        1.7613460
  1.1681694        1.7561880
  1.1673027        1.7511460
  1.1664352        1.7458660
  1.1655612        1.7413250
  1.1646951        1.7369950
  1.1638205        1.7321370
  1.1629472        1.7272650
  1.1620730        1.7220110
  1.1611991        1.7169600
  1.1603253        1.7119490
  1.1594518        1.7072550
  1.1585645        1.7026570
  1.1576969        1.6980360
  1.1568166        1.6929230
  1.1559429        1.6884240
  1.1550620        1.6834950
  1.1541750        1.6784410
  1.1533010        1.6733260
  1.1524199        1.6682160
  1.1515390        1.6629040
  1.1506509        1.6573900
  1.1497706        1.6526720
  1.1488831        1.6475450
  1.1480023        1.6429620
  1.1471143        1.6387160
  1.1462267        1.6343220
  1.1453457        1.6294740
  1.1444576        1.6242540
  1.1435699        1.6198850
  1.1426687        1.6148150
  1.1417880        1.6100300
  1.1409002        1.6052740
  1.1400053        1.6001370
  1.1391182        1.5956010
  1.1382168        1.5903290
  1.1373355        1.5856830
  1.1364338        1.5807970
  1.1355460        1.5761620
  1.1346512        1.5712430
  1.1337568        1.5664590
  1.1328556        1.5617830
  1.1319671        1.5567880
  1.1310728        1.5519670
  1.1301707        1.5468710
  1.1292761        1.5417560
  1.1283748        1.5369870
  1.1274729        1.5318560
  1.1265846        1.5273180
  1.1256825        1.5223590
  1.1247807        1.5174510
  1.1238794        1.5128050
  1.1229775        1.5079710
  1.1220761        1.5033130
  1.1211740        1.4988780
  1.1202724        1.4935910
  1.1193702        1.4892480
  1.1184685        1.4843890
  1.1175672        1.4795860
  1.1166583        1.4759530
  1.1157559        1.4703890
  1.1148409        1.4654580
  1.1139454        1.4608240
  1.1130304        1.4561060
  1.1121279        1.4514180
  1.1112258        1.4466480
  1.1103173        1.4419410
  1.1094013        1.4371890
  1.1084996        1.4326100
  1.1075906        1.4277900
  1.1066751        1.4228760
  1.1057730        1.4187400
  1.1048635        1.4135460
  1.1039486        1.4088560
  1.1030460        1.4042900
  1.1021302        1.3996850
  1.1012208        1.3950060
  1.1003051        1.3902360
  1.0993899        1.3856460
  1.0984869        1.3813900
  1.0975709        1.3765960
  1.0966622        1.3716540
  1.0957463        1.3672420
  1.0948300        1.3625440
  1.0939210        1.3583600
  1.0930049        1.3534790
  1.0920893        1.3493260
  1.0911733        1.3443090
